80,33,86,33,86,41,80,41
88,32,94,32,94,41,88,41
136,29,168,29,168,41,136,41
167,30,211,27,212,41,168,44
;84,48,143,52,142,63,83,60
148,50,170,50,170,60,148,60
172,49,212,52,211,63,171,60
213,49,230,49,230,61,213,61
233,52,260,52,260,61,233,61
;82,62,102,62,102,74,82,74
104,65,124,65,124,74,104,74
124,64,146,64,146,76,124,76
148,65,161,65,161,74,148,74
160,62,172,62,172,74,160,74
172,64,217,64,217,77,172,77
220,64,264,64,264,76,220,76
;82,76,148,76,148,88,82,88
154,80,161,80,161,89,154,89
162,80,188,80,188,90,162,90
190,77,202,77,202,89,190,89
206,77,246,79,246,89,206,87
246,76,262,76,262,89,246,89
;82,93,96,93,96,102,82,102
91,92,119,86,123,101,94,108
121,93,136,93,136,102,121,102
134,89,146,89,146,102,134,102
149,93,193,93,193,105,149,105
193,90,221,90,221,102,193,102
222,93,249,93,249,102,222,102
250,94,262,94,262,102,250,102
;81,102,96,102,96,116,81,116
100,104,112,104,112,116,100,116
114,104,140,104,140,116,114,116
148,106,178,106,178,116,148,116
178,103,204,105,203,117,177,115
206,105,218,105,218,117,206,117
220,103,264,106,263,120,219,117
;81,117,116,117,116,130,81,130
114,118,137,118,137,130,114,130
136,118,193,116,193,131,137,133
194,120,218,120,218,132,194,132
220,122,233,122,233,132,220,132
234,120,246,120,246,130,234,130
245,118,262,118,262,130,245,130
;49,138,74,138,74,146,49,146
82,133,102,133,102,144,82,144
101,132,144,136,143,147,100,144
146,136,160,136,160,144,146,144
160,134,182,134,182,148,160,148
182,132,194,132,194,144,182,144
194,132,210,132,210,144,194,144
213,132,228,132,228,145,213,145
230,136,264,136,264,145,230,145
;46,148,66,148,66,154,46,154
80,146,125,146,125,173,80,173
125,150,138,150,138,158,125,158
138,148,194,148,194,160,138,160
196,150,220,150,220,161,196,161
221,147,264,150,263,162,220,159
;80,160,96,160,96,172,80,172
130,161,165,161,165,172,130,172
169,164,200,164,200,172,169,172
204,161,230,161,230,173,204,173
229,162,263,159,264,173,230,175
;80,173,124,173,124,186,80,186
124,173,142,173,142,186,124,186
142,173,176,173,176,186,142,186
178,178,200,178,200,188,178,188
202,178,217,178,217,186,202,186
217,176,229,176,229,186,217,186
230,178,262,178,262,188,230,188
;79,189,114,187,115,201,80,203
116,188,132,188,132,200,116,200
129,189,155,186,157,199,131,203
158,192,172,192,172,200,158,200
174,192,206,192,206,201,174,201
209,188,225,188,225,201,209,201
226,192,245,192,245,201,226,201
254,193,261,193,261,201,254,201
;80,201,117,201,117,214,80,214
117,201,158,201,158,214,117,214
158,201,178,201,178,214,158,214
177,202,224,202,224,214,177,214
224,202,238,202,238,214,224,214
240,204,261,204,261,214,240,214
;81,220,120,220,120,229,81,229
126,220,132,220,132,229,126,229
133,216,162,216,162,229,133,229
162,216,177,216,177,228,162,228
177,216,205,216,205,229,177,229
206,220,220,220,220,229,206,229
220,216,233,216,233,228,220,228
236,218,258,218,258,229,236,229
;80,233,101,233,101,242,80,242
105,229,120,229,120,242,105,242
120,230,144,230,144,242,120,242
145,232,196,232,196,242,145,242
198,232,209,232,209,242,198,242
208,232,257,229,257,243,209,246
;80,248,96,248,96,256,80,256
94,244,108,244,108,256,94,256
110,245,168,245,168,257,110,257
190,248,220,248,220,257,190,257
223,247,261,244,262,257,224,260
;80,260,105,260,105,273,80,273
106,261,140,261,140,272,106,272
139,259,193,256,193,270,140,273
193,258,230,258,230,270,193,270
230,257,261,257,261,270,230,270
;79,276,122,273,123,283,80,287
125,272,188,272,188,285,125,285
193,276,206,276,206,285,193,285
212,272,234,272,234,285,212,285
238,276,257,276,257,285,238,285
;79,286,111,284,112,298,80,300
117,290,125,290,125,300,117,300
125,286,141,286,141,298,125,298
141,286,157,286,157,298,141,298
157,289,180,289,180,298,157,298
181,290,226,290,226,300,181,300
230,290,257,290,257,298,230,298
;80,301,92,301,92,312,80,312
92,304,121,302,121,313,93,315
121,300,133,300,133,312,121,312
134,303,177,301,177,313,134,314
180,304,214,304,214,313,180,313
213,301,226,301,226,313,213,313
226,302,249,302,249,314,226,314
249,301,261,301,261,313,249,313
;78,314,116,314,116,326,78,326
121,314,166,314,166,329,121,329
174,318,209,318,209,326,174,326
212,316,224,316,224,326,212,326
226,316,248,316,248,328,226,328
248,314,261,314,261,326,248,326
;81,329,120,329,120,340,81,340
130,329,168,329,168,340,130,340
169,332,190,332,190,341,169,341
193,332,228,332,228,341,193,341
230,330,240,330,240,340,230,340
242,332,261,332,261,341,242,341
;78,342,94,342,94,354,78,354
100,345,123,343,124,354,101,356
128,346,138,346,138,354,128,354
141,342,153,342,153,354,141,354
156,345,204,345,204,357,156,357
218,346,261,346,261,356,218,356
;80,358,94,358,94,368,80,368
95,356,131,355,132,369,96,371
132,356,164,356,164,369,132,369
162,355,216,357,215,370,162,369
217,357,252,357,252,369,217,369
;81,373,125,373,125,382,81,382
126,372,136,372,136,382,126,382
140,372,220,372,220,382,140,382
225,373,238,373,238,382,225,382
238,373,260,373,260,385,238,385
;232,389,260,389,260,401,232,401
;
