130,28,162,28,162,40,130,40
161,29,208,26,209,41,162,44
;73,47,103,43,104,57,74,60
109,57,151,60,150,73,108,70
113,48,194,48,194,60,113,60
193,48,206,48,206,60,193,60
209,48,233,48,233,61,209,61
236,52,256,52,256,61,236,61
;74,60,105,60,105,70,74,70
152,64,189,64,189,86,152,86
190,59,234,63,233,76,189,73
233,65,257,65,257,78,233,78
;73,72,118,72,118,85,73,85
118,73,133,73,133,85,118,85
134,74,150,74,150,86,134,86
180,78,196,78,196,88,180,88
200,78,257,78,257,89,200,89
;73,86,85,86,85,98,73,98
86,88,117,88,117,98,86,98
122,85,151,87,150,101,121,99
152,92,160,92,160,102,152,102
164,89,202,89,202,101,164,101
202,93,221,93,221,102,202,102
224,89,257,92,255,105,223,102
;74,104,94,104,94,114,74,114
96,104,108,104,108,113,96,113
106,100,120,100,120,113,106,113
120,104,142,104,142,116,120,116
145,105,158,105,158,114,145,114
161,102,182,102,182,114,161,114
184,104,222,104,222,118,184,118
222,105,234,105,234,117,222,117
236,106,254,106,254,117,236,117
;73,117,88,117,88,126,73,126
86,115,137,113,137,127,86,130
144,120,164,120,164,129,144,129
164,117,177,117,177,129,164,129
178,118,204,118,204,130,178,130
204,121,254,122,254,132,203,131
;72,128,88,128,88,140,72,140
89,129,100,129,100,141,89,141
102,129,146,129,146,141,102,141
152,130,169,130,169,142,152,142
170,133,208,136,207,148,170,146
212,136,217,136,217,144,212,144
218,133,232,133,232,145,218,145
232,137,254,137,254,146,232,146
;73,144,104,144,104,154,73,154
104,142,117,142,117,154,104,154
120,146,141,146,141,156,120,156
142,148,204,148,204,158,142,158
205,149,228,149,228,161,205,161
230,150,242,150,242,160,230,160
242,148,254,148,254,160,242,160
;70,156,103,158,102,172,69,170
101,159,142,156,143,170,102,173
142,157,157,157,157,170,142,170
157,158,176,158,176,170,157,170
177,161,244,164,243,174,176,171
;70,170,82,170,82,182,70,182
84,174,126,174,126,185,84,185
129,176,137,176,137,184,129,184
137,172,177,172,177,188,137,188
177,173,193,173,193,186,177,186
196,173,226,173,226,186,196,186
230,177,253,177,253,189,230,189
;72,188,90,188,90,198,72,198
90,184,137,184,137,197,90,197
137,186,189,186,189,201,137,201
190,188,206,188,206,200,190,200
206,188,218,188,218,200,206,200
220,188,248,188,248,201,220,201
;70,201,93,201,93,210,70,210
94,198,139,200,138,215,94,214
149,203,180,204,179,213,148,211
181,201,226,201,226,214,181,214
228,206,252,206,252,218,228,218
;69,212,92,212,92,225,69,225
92,213,132,213,132,228,92,228
132,215,164,218,163,231,130,228
164,216,176,216,176,228,164,228
178,218,225,218,225,230,178,230
226,221,240,221,240,229,226,229
240,217,253,217,253,229,240,229
;72,228,126,228,126,238,72,238
126,228,141,228,141,240,126,240
142,232,158,232,158,240,142,240
160,228,213,231,213,244,159,241
217,232,225,232,225,242,217,242
226,233,253,233,253,246,226,246
;70,240,93,240,93,252,70,252
97,244,150,244,150,256,97,256
156,245,193,245,193,256,156,256
197,245,208,245,208,256,197,256
210,248,252,248,252,258,210,258
;69,253,86,253,86,266,69,266
85,254,97,254,97,266,85,266
101,256,150,256,150,272,101,272
152,257,170,257,170,269,152,269
174,257,233,259,233,275,174,272
234,262,252,262,252,272,234,272
;70,268,121,268,121,281,70,281
124,273,145,273,145,282,124,282
148,274,173,274,173,284,148,284
174,272,202,272,202,284,174,284
204,274,252,274,252,285,204,285
;70,284,96,284,96,294,70,294
98,282,146,282,146,296,98,296
147,283,177,286,175,300,145,297
178,284,234,287,233,303,178,299
236,289,250,289,250,300,236,300
;81,301,101,301,101,310,81,310
100,301,122,301,122,312,100,312
124,297,158,300,157,313,123,311
158,298,204,298,204,312,158,312
205,304,210,304,210,312,205,312
214,302,222,302,222,313,214,313
221,301,244,301,244,313,221,313
;89,310,110,310,110,324,89,324
110,314,142,314,142,324,110,324
142,314,154,314,154,325,142,325
156,316,202,315,202,326,157,328
204,313,229,313,229,328,204,328
;121,329,156,330,155,340,120,338
158,328,201,328,201,340,158,340
;145,341,179,343,178,355,144,353
;224,390,242,390,242,401,224,401
;
