94,29,101,29,101,38,94,38
142,29,174,29,174,41,142,41
173,30,218,30,218,45,173,45
121,46,148,46,148,60,121,60
88,49,105,49,105,58,88,58
109,50,120,50,120,58,109,58
196,49,209,49,209,61,196,61
148,50,182,50,182,62,148,62
190,52,197,52,197,62,190,62
236,50,249,50,249,62,236,62
250,52,268,52,268,62,250,62
210,52,233,52,233,64,210,64
87,62,123,59,124,73,88,76
145,61,181,61,181,74,145,74
124,62,145,62,145,76,124,76
181,64,193,64,193,76,181,76
256,64,269,64,269,76,256,76
193,65,234,65,234,78,193,78
236,68,256,68,256,78,236,78
86,77,113,73,114,86,88,90
114,75,144,77,143,88,114,86
158,76,189,76,189,88,158,88
146,78,157,78,157,88,146,88
190,77,222,77,222,89,190,89
248,78,269,78,269,90,248,90
224,80,246,80,246,92,224,92
88,88,117,90,117,101,87,99
120,92,145,92,145,105,120,105
150,92,192,92,192,104,150,104
205,92,217,92,217,104,205,104
196,94,202,94,202,104,196,104
222,96,266,96,266,106,222,106
89,102,132,102,132,114,89,114
153,103,182,105,181,118,152,115
133,106,153,106,153,116,133,116
181,106,204,106,204,120,181,120
205,107,249,109,249,122,204,120
250,110,268,110,268,118,250,118
85,116,97,116,97,128,85,128
132,117,164,117,164,133,132,133
97,118,110,118,110,130,97,130
113,120,132,120,132,129,113,129
165,118,180,118,180,130,165,130
180,118,197,118,197,130,180,130
198,120,234,120,234,132,198,132
237,124,268,124,268,133,237,133
101,132,136,132,136,144,101,144
153,134,197,134,197,145,153,145
206,132,269,135,269,148,206,145
142,136,148,136,148,144,142,144
48,138,73,138,73,146,48,146
125,145,137,145,137,157,125,157
136,145,149,145,149,158,136,158
85,146,108,146,108,158,85,158
109,148,124,148,124,157,109,157
149,148,186,145,187,158,150,161
189,146,209,146,209,160,189,160
217,148,229,148,229,160,217,160
234,150,268,150,268,161,234,161
209,152,216,152,216,160,209,160
116,158,150,163,148,175,114,170
86,161,113,161,113,172,86,172
182,161,204,161,204,173,182,173
150,164,181,164,181,172,150,172
248,164,269,164,269,174,248,174
205,165,245,165,245,174,205,174
85,171,136,173,135,186,84,184
137,173,184,173,184,186,137,186
232,177,269,177,269,189,232,189
197,178,228,178,228,188,197,188
85,185,105,185,105,200,85,200
106,186,153,186,153,202,106,202
46,190,58,190,58,198,46,198
58,190,82,190,82,200,58,200
156,192,204,192,204,201,156,201
206,192,253,192,253,204,206,204
253,193,268,193,268,202,253,202
85,204,106,204,106,213,85,213
176,202,202,202,202,214,176,214
109,205,124,205,124,213,109,213
124,205,148,205,148,213,124,213
149,205,173,205,173,214,149,214
224,205,236,205,236,216,224,216
206,208,221,208,221,216,206,216
237,208,264,208,264,216,237,216
85,216,101,216,101,226,85,226
101,213,125,216,123,228,100,226
138,214,176,216,175,230,138,228
125,216,136,216,136,228,125,228
180,217,194,217,194,229,180,229
197,220,246,220,246,230,197,230
249,222,266,222,266,230,249,230
108,230,120,230,120,241,108,241
121,229,158,229,158,242,121,242
85,232,104,232,104,240,85,240
165,230,225,230,225,244,165,244
229,232,256,232,256,244,229,244
258,237,265,237,265,245,258,245
85,242,142,242,142,256,85,256
148,242,188,247,186,262,146,257
196,246,208,246,208,258,196,258
232,246,245,246,245,258,232,258
208,248,230,248,230,260,208,260
249,250,262,250,262,258,249,258
84,258,125,258,125,273,84,273
134,258,153,258,153,270,134,270
154,257,201,260,201,273,154,270
209,258,267,260,266,274,208,272
125,261,133,261,133,270,125,270
82,270,100,270,100,282,82,282
98,272,142,269,143,283,98,286
154,273,168,273,168,285,154,285
172,274,206,274,206,285,172,285
230,276,266,276,266,286,230,286
213,277,229,277,229,286,213,286
84,288,106,288,106,298,84,298
108,286,141,286,141,301,108,301
141,286,164,286,164,298,141,298
165,286,180,286,180,300,165,300
180,288,230,288,230,300,180,300
232,288,248,288,248,301,232,301
248,289,268,289,268,301,248,301
84,299,123,302,122,313,83,310
132,301,149,301,149,312,132,312
150,303,186,299,187,313,152,316
186,301,212,301,212,314,186,314
240,302,266,302,266,314,240,314
214,305,238,305,238,316,214,316
84,314,121,316,121,327,83,325
43,314,66,317,65,327,41,323
124,317,138,317,138,326,124,326
140,318,168,318,168,328,140,328
168,318,200,318,200,328,168,328
205,320,228,320,228,330,205,330
230,320,265,320,265,332,230,332
82,328,98,328,98,338,82,338
97,328,109,328,109,340,97,340
113,328,204,332,203,344,112,340
205,329,234,329,234,342,205,342
238,330,267,332,266,344,238,342
112,341,148,341,148,354,112,354
93,345,113,345,113,353,93,353
180,343,219,346,218,361,179,358
221,344,238,344,238,356,221,356
149,346,180,346,180,354,149,354
240,346,265,346,265,356,240,356
81,354,108,354,108,368,81,368
109,357,146,357,146,372,109,372
206,358,225,358,225,370,206,370
227,360,264,355,266,370,229,375
154,361,168,361,168,369,154,369
171,362,203,358,204,370,172,374
80,369,109,369,109,381,80,381
137,372,149,372,149,382,137,382
110,373,137,373,137,384,110,384
150,374,192,374,192,385,150,385
249,373,265,373,265,385,249,385
205,376,249,376,249,385,205,385
245,390,264,390,264,404,245,404
